family_key;source;indicator_id;dimension;value;added_by;added_at;note
popolazione_residente_nei_comuni_rurali;territorial;247;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Popolazione residente nei comuni rurali
popolazione_residente_nei_comuni_rurali;territorial;245;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Popolazione residente nei comuni rurali
specializzazione_produttiva_nei_settori_ad_alta_tecnologia;territorial;421;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Specializzazione produttiva nei settori ad alta tecnologia
specializzazione_produttiva_nei_settori_ad_alta_tecnologia;territorial;420;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Specializzazione produttiva nei settori ad alta tecnologia
specializzazione_produttiva_nei_settori_ad_alta_tecnologia;territorial;419;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Specializzazione produttiva nei settori ad alta tecnologia
speranza_di_vita_alla_nascita;territorial;912;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Speranza di vita alla nascita
speranza_di_vita_alla_nascita;territorial;911;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Speranza di vita alla nascita
speranza_di_vita_alla_nascita;territorial;910;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Speranza di vita alla nascita
tasso_di_attivita_totale_della_popolazione;territorial;203;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Tasso di attività totale della popolazione
tasso_di_attivita_totale_della_popolazione;territorial;213;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Tasso di attività totale della popolazione
tasso_di_disoccupazione;territorial;176;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Tasso di disoccupazione
tasso_di_disoccupazione;territorial;175;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Tasso di disoccupazione
tasso_di_disoccupazione;territorial;12;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Tasso di disoccupazione
tasso_di_disoccupazione_di_lunga_durata;territorial;184;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Tasso di disoccupazione di lunga durata
tasso_di_disoccupazione_di_lunga_durata;territorial;183;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Tasso di disoccupazione di lunga durata
tasso_di_disoccupazione_di_lunga_durata;territorial;17;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Tasso di disoccupazione di lunga durata
tasso_di_disoccupazione_giovanile;territorial;174;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Tasso di disoccupazione giovanile
tasso_di_disoccupazione_giovanile;territorial;230;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Tasso di disoccupazione giovanile
tasso_di_disoccupazione_giovanile;territorial;15;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Tasso di disoccupazione giovanile
tasso_di_istruzione_terziaria_nella_fascia_d_eta_30_34_anni;territorial;342;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Tasso di istruzione terziaria nella fascia d'età 30-34 anni
