indicatore,codice,livello,territorio,anno,valore,unita,fonte,archivio
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Basilicata,2015,0.5,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Basilicata,2016,0.9,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Basilicata,2017,1.0,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Basilicata,2018,0.9,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Basilicata,2019,0.3,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Basilicata,2020,0.6,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Basilicata,2021,1.0,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Basilicata,2022,1.1,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Basilicata,2023,0.8,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Basilicata,2024,0.8,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Calabria,2004,1.2,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
Mortalità per incidenti stradali (15-34 anni),01SAL005,regione,Calabria,2005,1.3,Tassi standardizzati per 10.000 residenti,"Istat - Per i decessi: Rilevazione degli incidenti stradali con lesioni alle persone. Per la popolazione: Rilevazione sulla Popolazione residente comunale per sesso, anno di nascita e stato civile","Benessere equo e sostenibile, aggiornamento intermedio 2026"
