indicatore,codice,livello,territorio,anno,valore,unita,fonte,archivio
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Basilicata,2023,39.2,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Basilicata,2024,40.0,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Basilicata,2025,41.7,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Calabria,2018,48.0,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Calabria,2019,49.0,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Calabria,2021,51.0,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Calabria,2022,51.0,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Calabria,2023,49.4,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Calabria,2024,50.5,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Calabria,2025,50.8,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Campania,2018,45.0,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Campania,2019,44.9,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Campania,2021,48.8,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Campania,2022,48.0,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Campania,2023,46.1,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Campania,2024,47.7,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Campania,2025,48.6,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Emilia-Romagna,2018,30.3,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Emilia-Romagna,2019,31.7,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Emilia-Romagna,2021,34.5,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Emilia-Romagna,2022,34.8,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Emilia-Romagna,2023,35.8,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Emilia-Romagna,2024,37.9,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Emilia-Romagna,2025,39.6,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Friuli-Venezia Giulia,2018,25.6,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Friuli-Venezia Giulia,2019,28.3,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Friuli-Venezia Giulia,2021,32.0,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Friuli-Venezia Giulia,2022,32.1,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Friuli-Venezia Giulia,2023,33.9,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Friuli-Venezia Giulia,2024,35.2,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Friuli-Venezia Giulia,2025,36.8,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Lazio,2018,31.2,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Lazio,2019,32.2,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Lazio,2021,35.5,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Lazio,2022,36.1,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Lazio,2023,36.3,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Lazio,2024,37.9,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Lazio,2025,39.6,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Liguria,2018,31.9,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Liguria,2019,32.4,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Liguria,2021,37.5,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Liguria,2022,38.6,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Liguria,2023,40.0,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Liguria,2024,41.5,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Liguria,2025,44.0,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Lombardia,2018,27.2,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Lombardia,2019,29.1,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Lombardia,2021,33.6,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Lombardia,2022,32.9,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Lombardia,2023,33.3,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Lombardia,2024,34.5,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Lombardia,2025,36.6,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Marche,2018,27.5,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Marche,2019,28.3,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Marche,2021,31.7,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Marche,2022,32.5,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Marche,2023,32.0,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Marche,2024,32.6,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Marche,2025,35.1,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Molise,2018,33.3,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Molise,2019,34.1,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
